"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
4025,15,"AUT","Austria",1,"Burgenland",1,"Eisenstadt Umgebung","","","Bezirke","District"
4026,15,"AUT","Austria",1,"Burgenland",2,"Eisenstadt","","","Statutarstädte","Statutory City"
4027,15,"AUT","Austria",1,"Burgenland",3,"Güssing","","","Bezirke","District"
4028,15,"AUT","Austria",1,"Burgenland",4,"Jennersdorf","","","Bezirke","District"
4029,15,"AUT","Austria",1,"Burgenland",5,"Mattersburg","","","Bezirke","District"
4030,15,"AUT","Austria",1,"Burgenland",6,"Neusiedl am See","","","Bezirke","District"
4031,15,"AUT","Austria",1,"Burgenland",7,"Oberpullendorf","","","Bezirke","District"
4032,15,"AUT","Austria",1,"Burgenland",8,"Oberwart","","","Bezirke","District"
4033,15,"AUT","Austria",1,"Burgenland",9,"Rust","",""," "," "
4034,15,"AUT","Austria",2,"Kärnten",10,"Feldkirchen","","","Bezirke","District"
4035,15,"AUT","Austria",2,"Kärnten",11,"Hermagor","","","Bezirke","District"
4036,15,"AUT","Austria",2,"Kärnten",12,"Klagenfurt Land","","","Bezirke","District"
4037,15,"AUT","Austria",2,"Kärnten",13,"Klagenfurt","","","Statutarstädte","Statutory City"
4038,15,"AUT","Austria",2,"Kärnten",14,"Sankt Veit an der Glan","","","Bezirke","District"
4039,15,"AUT","Austria",2,"Kärnten",15,"Spittal an der Drau","","","Bezirke","District"
4040,15,"AUT","Austria",2,"Kärnten",16,"Villach Land","","","Bezirke","District"
4041,15,"AUT","Austria",2,"Kärnten",17,"Villach","","","Statutarstädte","Statutory City"
4042,15,"AUT","Austria",2,"Kärnten",18,"Völkermarkt","","","Bezirke","District"
4043,15,"AUT","Austria",2,"Kärnten",19,"Wolfsberg","","","Bezirke","District"
4044,15,"AUT","Austria",3,"Niederösterreich",20,"Amstetten","","","Bezirke","District"
4045,15,"AUT","Austria",3,"Niederösterreich",21,"Baden","","","Bezirke","District"
4046,15,"AUT","Austria",3,"Niederösterreich",22,"Bruck an der Leitha","","","Bezirke","District"
4047,15,"AUT","Austria",3,"Niederösterreich",23,"Gänserndorf","","","Bezirke","District"
4048,15,"AUT","Austria",3,"Niederösterreich",24,"Gmünd","","","Bezirke","District"
4049,15,"AUT","Austria",3,"Niederösterreich",25,"Hollabrunn","","","Bezirke","District"
4050,15,"AUT","Austria",3,"Niederösterreich",26,"Horn","","","Bezirke","District"
4051,15,"AUT","Austria",3,"Niederösterreich",27,"Korneuburg","","","Bezirke","District"
4052,15,"AUT","Austria",3,"Niederösterreich",28,"Krems an der Donau Land","","","Bezirke","District"
4053,15,"AUT","Austria",3,"Niederösterreich",29,"Krems an der Donau Stadt","","","Statutarstädte","Statutory City"
