"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2840,221,"CHE","Switzerland",1,"Aargau","","Argovia|Arg¢via|Argovie","Canton|Kanton|Chantun","Canton"
2841,221,"CHE","Switzerland",2,"Appenzell Ausserrhoden","","Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno","Canton|Kanton|Chantun","Canton"
2842,221,"CHE","Switzerland",3,"Appenzell Innerrhoden","","Appenzell Inner-Rhoden|Appenzell Inner Rhodes|Appenzell dador|Appenzell Rhodes Intérieures|Appenzello Interno","Canton|Kanton|Chantun","Canton"
2843,221,"CHE","Switzerland",4,"Basel-Landschaft","","Bâle-Campagne|Basel-Country|Baselland|Basel-Land|Basilea campagna|Basilea Campaña|Basilea-Champagna","Canton|Kanton|Chantun","Canton"
2844,221,"CHE","Switzerland",5,"Basel-Stadt","","Bâle-Ville|Basel-City|Basel-Town|Basilea-Citad|Basilea Ciudad|Basilea città|Basiléia cidade","Canton|Kanton|Chantun","Canton"
2845,221,"CHE","Switzerland",6,"Bern","","Berna|Berne","Canton|Kanton|Chantun","Canton"
2846,221,"CHE","Switzerland",7,"Fribourg","","Freiburg|Friburg|Friburgo","Canton|Kanton|Chantun","Canton"
2847,221,"CHE","Switzerland",8,"Genève","","Cenevre|Genebra|Geneve|Geneva|Genevra|Genf|Ginebra|Ginevra","Canton|Kanton|Chantun","Canton"
2848,221,"CHE","Switzerland",9,"Glarus","","Glaris|Glarona|Glaruna","Canton|Kanton|Chantun","Canton"
2849,221,"CHE","Switzerland",10,"Graubünden","","Graubünden|Grigioni|Grischun|Grisons","Canton|Kanton|Chantun","Canton"
2850,221,"CHE","Switzerland",11,"Jura","","Giura","Canton|Kanton|Chantun","Canton"
2851,221,"CHE","Switzerland",12,"Lucerne","","Lucerna|Luzern","Canton|Kanton|Chantun","Canton"
2852,221,"CHE","Switzerland",13,"Neuchâtel","","Neuenburg","Canton|Kanton|Chantun","Canton"
2853,221,"CHE","Switzerland",14,"Nidwalden","","Nidvaldo|Nidwald|Unterwalden-le-Bas|Nidwaldo","Canton|Kanton|Chantun","Canton"
2854,221,"CHE","Switzerland",15,"Obwalden","","Obvaldo|Obwald|Unterwalden-le-Haut|Obwaldo|Sursilvania","Canton|Kanton|Chantun","Canton"
2855,221,"CHE","Switzerland",16,"Sankt Gallen","","Saint-Gall|San Gallo|Son Gagl","Canton|Kanton|Chantun","Canton"
2856,221,"CHE","Switzerland",17,"Schaffhausen","","Schaffhouse|Schaffusa|Sciaffusa","Canton|Kanton|Chantun","Canton"
2857,221,"CHE","Switzerland",18,"Schwyz","","","Canton|Kanton|Chantun","Canton"
2858,221,"CHE","Switzerland",19,"Solothurn","","Soletta|Soleure|Soleuro|Soloturn","Canton|Kanton|Chantun","Canton"
2859,221,"CHE","Switzerland",20,"Thurgau","","Thurgovie|Turgovia|Turg¢via","Canton|Kanton|Chantun","Canton"
2860,221,"CHE","Switzerland",21,"Ticino","","Tesino|Tessin","Canton|Kanton|Chantun","Canton"
2861,221,"CHE","Switzerland",22,"Uri","","","Canton|Kanton|Chantun","Canton"
2862,221,"CHE","Switzerland",23,"Valais","","Vallais|Vallese|Wallis","Canton|Kanton|Chantun","Canton"
2863,221,"CHE","Switzerland",24,"Vaud","","Vad|Waadt|Waadtland","Canton|Kanton|Chantun","Canton"
2864,221,"CHE","Switzerland",25,"Zug","","Zoug|Zugo","Canton|Kanton|Chantun","Canton"
2865,221,"CHE","Switzerland",26,"Zürich","","Turitg|Zurigo|Zürih|Zurique","Canton|Kanton|Chantun","Canton"
