"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
34120,221,"CHE","Switzerland",1,"Aargau",1,"Aarau","","","District","District"
34121,221,"CHE","Switzerland",1,"Aargau",2,"Baden","","","District","District"
34122,221,"CHE","Switzerland",1,"Aargau",3,"Bremgarten","","","District","District"
34123,221,"CHE","Switzerland",1,"Aargau",4,"Brugg","","","District","District"
34124,221,"CHE","Switzerland",1,"Aargau",5,"Kulm","","","District","District"
34125,221,"CHE","Switzerland",1,"Aargau",6,"Laufenburg","","","District","District"
34126,221,"CHE","Switzerland",1,"Aargau",7,"Lenzburg","","","District","District"
34127,221,"CHE","Switzerland",1,"Aargau",8,"Muri","","","District","District"
34128,221,"CHE","Switzerland",1,"Aargau",9,"Rheinfelden","","","District","District"
34129,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen","","","District","District"
34130,221,"CHE","Switzerland",1,"Aargau",11,"Zurzach","","","District","District"
34131,221,"CHE","Switzerland",2,"Appenzell Ausserrhoden",12,"Appenzell Ausserrhoden","","","District","District"
34132,221,"CHE","Switzerland",3,"Appenzell Innerrhoden",13,"Appenzell Innerrhoden","","","District","District"
34133,221,"CHE","Switzerland",4,"Basel-Landschaft",14,"Arlesheim","","","District","District"
34134,221,"CHE","Switzerland",4,"Basel-Landschaft",15,"Laufen","","","District","District"
34135,221,"CHE","Switzerland",4,"Basel-Landschaft",16,"Liestal","","","District","District"
34136,221,"CHE","Switzerland",4,"Basel-Landschaft",17,"Sissach","","","District","District"
34137,221,"CHE","Switzerland",4,"Basel-Landschaft",18,"Waldenburg","","","District","District"
34138,221,"CHE","Switzerland",5,"Basel-Stadt",19,"Basel","","","District","District"
34139,221,"CHE","Switzerland",5,"Basel-Stadt",20,"Bettingen","","","District","District"
34140,221,"CHE","Switzerland",5,"Basel-Stadt",21,"Riehen","","","District","District"
34141,221,"CHE","Switzerland",6,"Bern",22,"Aarberg","","","District","District"
34142,221,"CHE","Switzerland",6,"Bern",23,"Aarwangen","","","District","District"
34143,221,"CHE","Switzerland",6,"Bern",24,"Bern","","","District","District"
34144,221,"CHE","Switzerland",6,"Bern",25,"Biel","","","District","District"
34145,221,"CHE","Switzerland",6,"Bern",26,"Büren","","","District","District"
34146,221,"CHE","Switzerland",6,"Bern",27,"Burgdorf","","","District","District"
34147,221,"CHE","Switzerland",6,"Bern",28,"Courtelary","","","District","District"
34148,221,"CHE","Switzerland",6,"Bern",29,"Erlach","","","District","District"
34149,221,"CHE","Switzerland",6,"Bern",30,"Fraubrunnen","","","District","District"
34150,221,"CHE","Switzerland",6,"Bern",31,"Frutigen 
","","","District","District"
34151,221,"CHE","Switzerland",6,"Bern",32,"Interlaken","","","District","District"
34152,221,"CHE","Switzerland",6,"Bern",33,"Konolfingen","","","District","District"
34153,221,"CHE","Switzerland",6,"Bern",34,"La Neuveville","","","District","District"
34154,221,"CHE","Switzerland",6,"Bern",35,"Laupen","","","District","District"
