"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
97822,221,"CHE","Switzerland",12,"Lucerne",75,"Willisau",1377,"Willisau","","","Commune","Municipality"
97823,221,"CHE","Switzerland",12,"Lucerne",75,"Willisau",1378,"Zell","","","Commune","Municipality"
97824,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1379,"Auvernier","","","Commune","Municipality"
97825,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1380,"Bevaix","","","Commune","Municipality"
97826,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1381,"Bôle","","","Commune","Municipality"
97827,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1382,"Boudry","","","Commune","Municipality"
97828,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1383,"Brot-Dessous","","","Commune","Municipality"
97829,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1384,"Colombier","","","Commune","Municipality"
97830,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1385,"Corcelles-Cormondrèche","","","Commune","Municipality"
97831,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1386,"Cortaillod","","","Commune","Municipality"
97832,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1387,"Fresens","","","Commune","Municipality"
97833,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1388,"Gorgier","","","Commune","Municipality"
97834,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1389,"Montalchez","","","Commune","Municipality"
97835,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1390,"Neuenburger-see","","","Water body","Water body"
97836,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1391,"Peseux","","","Commune","Municipality"
97837,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1392,"Rochefort","","","Commune","Municipality"
97838,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1393,"Saint-Aubin-Sauges","","","Commune","Municipality"
97839,221,"CHE","Switzerland",13,"Neuchâtel",76,"Boudry",1394,"Vaumarcus","","","Commune","Municipality"
97840,221,"CHE","Switzerland",13,"Neuchâtel",77,"La Chaux-de-Fonds",1395,"La Chaux-de-Fonds","","","Commune","Municipality"
97841,221,"CHE","Switzerland",13,"Neuchâtel",77,"La Chaux-de-Fonds",1396,"La Sagne","","","Commune","Municipality"
98249,221,"CHE","Switzerland",1,"Aargau",1,"Aarau",1,"Aarau","","","Commune","Municipality"
98250,221,"CHE","Switzerland",1,"Aargau",1,"Aarau",2,"Biberstein","","","Commune","Municipality"
98251,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",195,"Kölliken","","","Commune","Municipality"
98252,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",196,"Moosleerau","","","Commune","Municipality"
98253,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",197,"Murgenthal","","","Commune","Municipality"
98254,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",198,"Oftringen","","","Commune","Municipality"
98255,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",199,"Reitnau","","","Commune","Municipality"
98256,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",200,"Rothrist","","","Commune","Municipality"
98257,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",201,"Safenwil","","","Commune","Municipality"
98258,221,"CHE","Switzerland",1,"Aargau",10,"Zofingen",202,"Staffelbach","","","Commune","Municipality"
