"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43685,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",18,"Clervaux","","","Commune","Commune"
43686,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",21,"Consthum","","","Commune","Commune"
43687,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",46,"Heinerscheid","","","Commune","Commune"
43688,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",50,"Hosingen","","","Commune","Commune"
43689,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",73,"Munshausen","","","Commune","Commune"
43690,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",101,"Troisvierges","","","Commune","Commune"
43691,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",111,"Weiswampach","","","Commune","Commune"
43692,131,"LUX","Luxembourg",1,"Diekirch",1,"Clervaux",114,"Wincrange","","","Commune","Commune"
43693,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",8,"Bettendorf","","","Commune","Commune"
43694,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",14,"Bourscheid","","","Commune","Commune"
43695,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",24,"Diekirch","","","Commune","Commune"
43696,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",30,"Ermsdorf","","","Commune","Commune"
43697,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",31,"Erpeldange","","","Commune","Commune"
43698,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",35,"Ettelbruck","","","Commune","Commune"
43699,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",36,"Feulen","","","Commune","Commune"
43700,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",49,"Hoscheid","","","Commune","Commune"
43701,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",66,"Medernach","","","Commune","Commune"
43702,131,"LUX","Luxembourg",1,"Diekirch",2,"Diekirch",69,"Mertzig","","","Commune","Commune"
